調査年,地域,A1101_総人口【人】,A1301_15歳未満人口【人】,A1303_65歳以上人口【人】,A4101_出生数【人】,A9101_婚姻件数【組】,E2101_小学校数【校】,E3101_中学校数【校】,E4101_高等学校数【校】,F1101_労働力人口【人】,
2000年度,埼玉県 蓮田市,64386 ,8629 ,8733 ,553 ,388 ,8 ,5 ,1 ,33876 ,
2000年度,埼玉県 坂戸市,97381 ,13562 ,10926 ,920 ,621 ,13 ,8 ,4 ,53086 ,
2000年度,埼玉県 幸手市,56413 ,7766 ,7379 ,391 ,265 ,12 ,4 ,2 ,30070 ,
2000年度,埼玉県 鶴ヶ島市,67638 ,9971 ,6319 ,635 ,465 ,8 ,5 ,1 ,36732 ,
2000年度,埼玉県 日高市,53758 ,7514 ,7226 ,414 ,254 ,6 ,6 ,1 ,28564 ,
2000年度,埼玉県 吉川市,56673 ,9120 ,5601 ,580 ,380 ,7 ,3 ,1 ,31604 ,
2000年度,埼玉県 ふじみ野市,100118 ,14043 ,12576 ,1011 ,681 ,13 ,6 ,2 ,54190 ,
2000年度,埼玉県 白岡市,46999 ,7373 ,5943 ,404 ,235 ,6 ,4 ,1 ,24368 ,
1995年度,埼玉県 さいたま市,1078545 ,168798 ,112170 ,11392 ,8377 ,101 ,58 ,36 ,581725 ,
1995年度,埼玉県 川越市,323353 ,49813 ,32392 ,3201 ,2109 ,33 ,24 ,15 ,175229 ,
1995年度,埼玉県 熊谷市,205605 ,34565 ,26320 ,1893 ,1229 ,30 ,17 ,8 ,109419 ,
1995年度,埼玉県 川口市,504618 ,77480 ,46832 ,5536 ,4062 ,51 ,26 ,9 ,289917 ,
1995年度,埼玉県 行田市,90427 ,15416 ,12188 ,839 ,461 ,16 ,8 ,3 ,47888 ,
1995年度,埼玉県 秩父市,75618 ,12595 ,13791 ,732 ,421 ,18 ,9 ,4 ,38773 ,
1995年度,埼玉県 所沢市,320406 ,50233 ,30075 ,3355 ,2366 ,33 ,15 ,7 ,167369 ,
1995年度,埼玉県 飯能市,83278 ,13976 ,11223 ,694 ,430 ,14 ,9 ,4 ,42653 ,
1995年度,埼玉県 加須市,115198 ,21566 ,15092 ,1094 ,609 ,21 ,7 ,4 ,60612 ,
1995年度,埼玉県 本庄市,81662 ,13733 ,11903 ,809 ,517 ,13 ,4 ,7 ,44040 ,
1995年度,埼玉県 東松山市,93342 ,16169 ,9586 ,910 ,516 ,12 ,5 ,3 ,47615 ,
1995年度,埼玉県 春日部市,238598 ,38420 ,20263 ,2318 ,1443 ,26 ,13 ,6 ,128091 ,
1995年度,埼玉県 狭山市,162240 ,25663 ,15118 ,1528 ,995 ,17 ,11 ,6 ,87076 ,
1995年度,埼玉県 羽生市,56035 ,9197 ,8183 ,518 ,292 ,11 ,3 ,4 ,29868 ,
1995年度,埼玉県 鴻巣市,116421 ,20673 ,12260 ,1102 ,631 ,19 ,8 ,3 ,61337 ,
1995年度,埼玉県 深谷市,143116 ,24380 ,19270 ,1294 ,857 ,19 ,10 ,6 ,77860 ,
1995年度,埼玉県 上尾市,206090 ,33056 ,17770 ,2139 ,1416 ,22 ,11 ,6 ,114066 ,
1995年度,埼玉県 草加市,217930 ,32442 ,16805 ,2421 ,1746 ,22 ,11 ,5 ,125101 ,
1995年度,埼玉県 越谷市,298253 ,47639 ,23581 ,3028 ,2156 ,29 ,15 ,7 ,164096 ,
1995年度,埼玉県 蕨市,72021 ,9612 ,8630 ,626 ,582 ,7 ,4 ,2 ,41348 ,
1995年度,埼玉県 戸田市,97571 ,15841 ,7423 ,1374 ,1100 ,11 ,6 ,2 ,56855 ,
1995年度,埼玉県 入間市,144402 ,25404 ,12992 ,1399 ,810 ,16 ,11 ,6 ,75170 ,
1995年度,埼玉県 朝霞市,110789 ,16632 ,8681 ,1496 ,1239 ,9 ,5 ,2 ,64312 ,
1995年度,埼玉県 志木市,64430 ,9991 ,5309 ,642 ,421 ,8 ,5 ,3 ,35395 ,
1995年度,埼玉県 和光市,62588 ,9935 ,5089 ,789 ,675 ,8 ,3 ,2 ,34557 ,
1995年度,埼玉県 新座市,144726 ,21989 ,12139 ,1405 ,972 ,18 ,6 ,5 ,81432 ,
1995年度,埼玉県 桶川市,73084 ,11678 ,7227 ,716 ,488 ,8 ,4 ,2 ,39981 ,
1995年度,埼玉県 久喜市,151756 ,26911 ,15446 ,1389 ,806 ,25 ,11 ,6 ,79603 ,
1995年度,埼玉県 北本市,69929 ,12386 ,6063 ,690 ,432 ,8 ,4 ,1 ,37359 ,
1995年度,埼玉県 八潮市,75322 ,12127 ,5612 ,810 ,520 ,10 ,5 ,2 ,43646 ,
1995年度,埼玉県 富士見市,96972 ,14362 ,8210 ,1097 ,850 ,11 ,6 ,1 ,55656 ,
1995年度,埼玉県 三郷市,133600 ,24206 ,8695 ,1317 ,859 ,21 ,8 ,3 ,74665 ,
1995年度,埼玉県 蓮田市,63920 ,9638 ,6581 ,603 ,400 ,8 ,5 ,1 ,33992 ,
1995年度,埼玉県 坂戸市,98221 ,15578 ,8263 ,874 ,623 ,13 ,8 ,4 ,52432 ,
1995年度,埼玉県 幸手市,58172 ,9749 ,5957 ,441 ,284 ,12 ,4 ,2 ,30961 ,
1995年度,埼玉県 鶴ヶ島市,66208 ,11303 ,4524 ,618 ,429 ,8 ,5 ,1 ,35323 ,
1995年度,埼玉県 日高市,54884 ,9237 ,5869 ,413 ,243 ,6 ,6 ,1 ,29108 ,
1995年度,埼玉県 吉川市,52705 ,9041 ,4318 ,603 ,376 ,7 ,3 ,1 ,29574 ,
1995年度,埼玉県 ふじみ野市,96390 ,13304 ,8937 ,920 ,690 ,13 ,6 ,2 ,54828 ,
1995年度,埼玉県 白岡市,43225 ,7317 ,4541 ,380 ,266 ,6 ,4 ,1 ,22513 ,
1990年度,埼玉県 さいたま市,1007569 ,178609 ,87237 ,***,6879 ,99 ,56 ,36 ,517998 ,
1990年度,埼玉県 川越市,304854 ,54816 ,25252 ,***,1743 ,33 ,23 ,15 ,156655 ,
1990年度,埼玉県 熊谷市,200246 ,37991 ,21650 ,***,1142 ,29 ,17 ,8 ,103188 ,
1990年度,埼玉県 川口市,495120 ,85636 ,36670 ,***,3855 ,51 ,26 ,9 ,273172 ,
1990年度,埼玉県 行田市,87014 ,17143 ,9931 ,***,420 ,16 ,8 ,3 ,44861 ,
1990年度,埼玉県 秩父市,75845 ,13807 ,11358 ,***,447 ,19 ,9 ,4 ,38109 ,
1990年度,埼玉県 所沢市,303040 ,56314 ,22253 ,***,2084 ,32 ,15 ,7 ,152813 ,
1990年度,埼玉県 飯能市,75794 ,14350 ,9071 ,***,406 ,16 ,9 ,4 ,37528 ,
1990年度,埼玉県 加須市,100697 ,20143 ,12041 ,***,474 ,20 ,7 ,4 ,52128 ,
1990年度,埼玉県 本庄市,78551 ,14500 ,9752 ,***,426 ,13 ,4 ,7 ,41393 ,
1990年度,埼玉県 東松山市,84394 ,16279 ,7332 ,***,438 ,11 ,5 ,3 ,41905 ,
1990年度,埼玉県 春日部市,226449 ,44487 ,15552 ,***,1263 ,26 ,13 ,6 ,114091 ,
1990年度,埼玉県 狭山市,157309 ,30619 ,11339 ,***,943 ,17 ,10 ,6 ,79751 ,
1990年度,埼玉県 羽生市,53764 ,9913 ,6766 ,***,267 ,11 ,3 ,4 ,27765 ,
1990年度,埼玉県 鴻巣市,107124 ,21642 ,9448 ,***,507 ,18 ,8 ,3 ,54113 ,
1990年度,埼玉県 深谷市,135927 ,26585 ,15842 ,***,714 ,19 ,10 ,6 ,71537 ,
1990年度,埼玉県 上尾市,194947 ,36541 ,12906 ,***,1143 ,22 ,11 ,6 ,102062 ,
1990年度,埼玉県 草加市,206132 ,36061 ,12855 ,***,1473 ,22 ,11 ,5 ,112685 ,
1990年度,埼玉県 越谷市,285259 ,53529 ,17756 ,***,1715 ,29 ,15 ,7 ,148350 ,
1990年度,埼玉県 蕨市,73620 ,11210 ,6901 ,***,527 ,7 ,4 ,2 ,40904 ,
1990年度,埼玉県 戸田市,87599 ,14980 ,5713 ,***,862 ,11 ,6 ,2 ,49853 ,
1990年度,埼玉県 入間市,137585 ,28585 ,9679 ,***,741 ,16 ,11 ,6 ,67918 ,
1990年度,埼玉県 朝霞市,103617 ,17052 ,6495 ,***,981 ,9 ,5 ,2 ,58166 ,
1990年度,埼玉県 志木市,63491 ,11806 ,3921 ,***,458 ,8 ,5 ,3 ,32718 ,
1990年度,埼玉県 和光市,56890 ,10653 ,3916 ,***,426 ,8 ,3 ,2 ,29639 ,
1990年度,埼玉県 新座市,138919 ,24980 ,9162 ,***,817 ,18 ,6 ,5 ,73496 ,
1990年度,埼玉県 桶川市,69029 ,12944 ,5452 ,***,380 ,8 ,4 ,2 ,35603 ,
1990年度,埼玉県 久喜市,141400 ,29529 ,11948 ,***,713 ,23 ,11 ,6 ,69783 ,
1990年度,埼玉県 北本市,63929 ,12924 ,4596 ,***,352 ,7 ,4 ,1 ,32181 ,
1990年度,埼玉県 八潮市,72473 ,13504 ,4445 ,***,465 ,10 ,5 ,2 ,40259 ,
1990年度,埼玉県 富士見市,94864 ,16812 ,6292 ,***,699 ,11 ,6 ,1 ,50472 ,
1990年度,埼玉県 三郷市,128376 ,28159 ,6643 ,***,747 ,19 ,8 ,3 ,67036 ,
1990年度,埼玉県 蓮田市,59706 ,11113 ,5050 ,***,272 ,8 ,5 ,1 ,29582 ,
1990年度,埼玉県 坂戸市,95740 ,19352 ,6451 ,***,476 ,13 ,8 ,4 ,46926 ,
1990年度,埼玉県 幸手市,54342 ,10949 ,4622 ,***,231 ,12 ,4 ,2 ,27140 ,
1990年度,埼玉県 鶴ヶ島市,63064 ,13695 ,3379 ,***,317 ,8 ,5 ,1 ,31075 ,
1990年度,埼玉県 日高市,53169 ,11250 ,4773 ,***,194 ,6 ,6 ,1 ,26245 ,
1990年度,埼玉県 吉川市,48935 ,10282 ,3380 ,***,273 ,7 ,3 ,1 ,25276 ,
1990年度,埼玉県 ふじみ野市,97974 ,16233 ,6860 ,***,630 ,13 ,6 ,2 ,52768 ,
1990年度,埼玉県 白岡市,38319 ,7325 ,3456 ,***,175 ,5 ,4 ,1 ,19189 ,
1985年度,埼玉県 さいたま市,922757 ,205192 ,70414 ,***,5415 ,99 ,53 ,34 ,442512 ,
1985年度,埼玉県 川越市,285437 ,67044 ,20180 ,***,1520 ,32 ,22 ,15 ,135270 ,
1985年度,埼玉県 熊谷市,189020 ,41825 ,18045 ,***,1089 ,29 ,17 ,8 ,94939 ,
1985年度,埼玉県 川口市,458439 ,99468 ,29166 ,***,3178 ,50 ,26 ,8 ,238973 ,
1985年度,埼玉県 行田市,83187 ,19496 ,8232 ,***,453 ,16 ,8 ,3 ,41429 ,
1985年度,埼玉県 秩父市,76275 ,15936 ,9498 ,***,403 ,20 ,9 ,4 ,37780 ,
1985年度,埼玉県 所沢市,275168 ,65884 ,16702 ,***,1689 ,31 ,15 ,7 ,129697 ,
1985年度,埼玉県 飯能市,69109 ,15778 ,7154 ,***,341 ,15 ,9 ,4 ,33308 ,
1985年度,埼玉県 加須市,92228 ,20879 ,9960 ,***,505 ,20 ,7 ,5 ,46902 ,
1985年度,埼玉県 本庄市,75449 ,16514 ,8332 ,***,499 ,13 ,4 ,7 ,38494 ,
1985年度,埼玉県 東松山市,70426 ,15860 ,5702 ,***,385 ,11 ,5 ,3 ,34371 ,
1985年度,埼玉県 春日部市,207021 ,54121 ,12079 ,***,1027 ,26 ,13 ,6 ,94962 ,
1985年度,埼玉県 狭山市,144366 ,36385 ,8460 ,***,812 ,17 ,9 ,6 ,68703 ,
1985年度,埼玉県 羽生市,51504 ,11061 ,5453 ,***,274 ,11 ,3 ,4 ,26155 ,
1985年度,埼玉県 鴻巣市,92971 ,22391 ,7392 ,***,482 ,17 ,7 ,3 ,44820 ,
1985年度,埼玉県 深谷市,129851 ,30556 ,12991 ,***,720 ,19 ,10 ,6 ,66107 ,
1985年度,埼玉県 上尾市,178587 ,44093 ,9503 ,***,890 ,22 ,11 ,6 ,85505 ,
1985年度,埼玉県 草加市,194205 ,45564 ,10029 ,***,1176 ,22 ,11 ,6 ,97565 ,
1985年度,埼玉県 越谷市,253479 ,62394 ,13534 ,***,1373 ,28 ,15 ,6 ,120456 ,
1985年度,埼玉県 蕨市,70408 ,13003 ,5767 ,***,558 ,7 ,4 ,2 ,37971 ,
1985年度,埼玉県 戸田市,76960 ,16424 ,4633 ,***,531 ,11 ,6 ,2 ,41168 ,
1985年度,埼玉県 入間市,118603 ,30236 ,7011 ,***,560 ,16 ,9 ,6 ,55048 ,
1985年度,埼玉県 朝霞市,94431 ,19782 ,4979 ,***,795 ,9 ,5 ,2 ,49655 ,
1985年度,埼玉県 志木市,58935 ,14079 ,3045 ,***,345 ,8 ,5 ,3 ,28182 ,
1985年度,埼玉県 和光市,55212 ,12844 ,3114 ,***,392 ,8 ,3 ,1 ,26866 ,
1985年度,埼玉県 新座市,129287 ,30599 ,7171 ,***,697 ,18 ,6 ,5 ,62571 ,
1985年度,埼玉県 桶川市,61499 ,14598 ,4224 ,***,321 ,8 ,4 ,2 ,29366 ,
1985年度,埼玉県 久喜市,125923 ,32044 ,9228 ,***,730 ,23 ,11 ,5 ,59363 ,
1985年度,埼玉県 北本市,58114 ,14957 ,3453 ,***,319 ,7 ,4 ,1 ,26837 ,
1985年度,埼玉県 八潮市,67635 ,17204 ,3556 ,***,342 ,10 ,5 ,2 ,33774 ,
1985年度,埼玉県 富士見市,85697 ,20602 ,4799 ,***,567 ,11 ,6 ,1 ,41670 ,
1985年度,埼玉県 三郷市,107964 ,29759 ,4923 ,***,575 ,19 ,7 ,3 ,52558 ,
1985年度,埼玉県 蓮田市,53991 ,13121 ,3885 ,***,236 ,8 ,5 ,1 ,25019 ,
1985年度,埼玉県 坂戸市,87586 ,23977 ,5001 ,***,493 ,13 ,7 ,4 ,39675 ,
1985年度,埼玉県 幸手市,51462 ,13474 ,3682 ,***,220 ,11 ,4 ,2 ,23625 ,
1985年度,埼玉県 鶴ヶ島市,49381 ,13974 ,2375 ,***,277 ,8 ,5 ,1 ,22535 ,
1985年度,埼玉県 日高市,48227 ,13217 ,3636 ,***,213 ,6 ,5 ,1 ,22346 ,
1985年度,埼玉県 吉川市,43616 ,11972 ,2785 ,***,232 ,7 ,3 ,1 ,20721 ,
1985年度,埼玉県 ふじみ野市,94673 ,21376 ,5321 ,***,537 ,13 ,6 ,2 ,46449 ,
1985年度,埼玉県 白岡市,34171 ,8075 ,2733 ,***,168 ,5 ,3 ,1 ,16362 ,
1980年度,埼玉県 さいたま市,879291 ,225912 ,56542 ,***,5716 ,95 ,48 ,30 ,399255 ,
1980年度,埼玉県 川越市,259314 ,70387 ,15557 ,***,1477 ,29 ,16 ,13 ,115920 ,
1980年度,埼玉県 熊谷市,178610 ,42775 ,15071 ,***,1197 ,29 ,16 ,10 ,87789 ,
1980年度,埼玉県 川口市,435310 ,110189 ,22972 ,***,3355 ,47 ,24 ,7 ,213031 ,
1980年度,埼玉県 行田市,76960 ,19119 ,6804 ,***,515 ,14 ,7 ,3 ,38211 ,
1980年度,埼玉県 秩父市,76875 ,17579 ,8580 ,***,425 ,23 ,11 ,4 ,37481 ,
1980年度,埼玉県 所沢市,236476 ,65220 ,12144 ,***,1646 ,26 ,12 ,6 ,105421 ,
1980年度,埼玉県 飯能市,63902 ,15574 ,5947 ,***,386 ,14 ,8 ,3 ,30267 ,
1980年度,埼玉県 加須市,86506 ,20223 ,8482 ,***,518 ,20 ,7 ,3 ,44362 ,
1980年度,埼玉県 本庄市,72089 ,17305 ,7099 ,***,479 ,13 ,4 ,6 ,36505 ,
1980年度,埼玉県 東松山市,63889 ,15576 ,4714 ,***,387 ,9 ,3 ,2 ,30023 ,
1980年度,埼玉県 春日部市,187913 ,57491 ,8971 ,***,1014 ,26 ,10 ,6 ,80978 ,
1980年度,埼玉県 狭山市,124029 ,35998 ,6262 ,***,809 ,15 ,6 ,2 ,55248 ,
1980年度,埼玉県 羽生市,48488 ,11006 ,4604 ,***,282 ,11 ,5 ,4 ,24550 ,
